,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
2303,GoodRx Drug Prices and Coupons,MEDICAL,4.8,59158,11,1000000,Free,0.0,Everyone,Medical
3614,Rainbow - Journal & Activities,PARENTING,4.8,6668,20,100000,Free,0.0,Everyone,Parenting
10245,"Barca News - FC Barcelona, World Foot & Transfers",SPORTS,4.8,160,6.4,10000,Free,0.0,Everyone,Sports
3303,Calculator with Percent (Free),TOOLS,4.8,48211,7.4,1000000,Free,0.0,Everyone,Tools
108,Prom MakeUp Tutorial,BEAUTY,4.8,104,12,10000,Free,0.0,Everyone,Beauty
9295,EF Coach,HEALTH_AND_FITNESS,4.8,17,14,500,Free,0.0,Everyone,Health & Fitness
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35,5000000,Free,0.0,Everyone,Auto & Vehicles
3051,Live Tennis Rankings / LTR,SPORTS,4.8,1660,4.7,10000,Free,0.0,Everyone,Sports
2297,Hospitalist Handbook,MEDICAL,4.8,12,18,1000,Paid,19.99,Everyone,Medical
8960,DV 2018 Winners Guide,BOOKS_AND_REFERENCE,4.8,11,0.608,1000,Free,0.0,Everyone,Books & Reference
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design
8995,German Listening,FAMILY,4.8,18298,8.0,500000,Free,0.0,Everyone,Education
10655,Ninja FN Button,FAMILY,4.8,12,12,1000,Free,0.0,Teen,Entertainment
9486,TeamWard – live help for LoL,FAMILY,4.8,3136,2.7,100000,Free,0.0,Everyone,Entertainment
10406,Puzzles Volvo FH 16 Trucks,FAMILY,4.8,10,8.2,1000,Free,0.0,Teen,Puzzle
9258,TN Patta /Chitta /EC New,SOCIAL,4.8,5,3.0,100,Free,0.0,Teen,Social
2489,Ovia Fertility Tracker & Ovulation Calculator,MEDICAL,4.8,53747,13,1000000,Free,0.0,Everyone,Medical
10380,POLARIS 2MFG,FAMILY,4.8,1228,29,10000,Free,0.0,Everyone,Education
2358,VitusVet: Pet Health Care App,MEDICAL,4.8,3052,12,100000,Free,0.0,Everyone,Medical
2803,FreePrints – Free Photos Delivered,PHOTOGRAPHY,4.8,109500,37,1000000,Free,0.0,Everyone,Photography
9055,Human Dx,MEDICAL,4.8,6,16,500,Free,0.0,Everyone,Medical
10264,My AEK - Official ΑΕΚ FC app,SPORTS,4.8,3346,Varies with device,50000,Free,0.0,Everyone,Sports
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5.0,1000000,Free,0.0,Teen,Books & Reference
3658,Weather Live Pro,WEATHER,4.8,17493,11,100000,Paid,4.49,Everyone,Weather
2307,Ovia Pregnancy Tracker & Baby Countdown Calendar,MEDICAL,4.8,102858,9.8,1000000,Free,0.0,Everyone,Medical
3629,Live Weather Pro,WEATHER,4.8,892,17,10000,Free,0.0,Everyone,Weather
10833,Chemin (fr),BOOKS_AND_REFERENCE,4.8,44,0.619,1000,Free,0.0,Everyone,Books & Reference
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21,1000000,Free,0.0,Everyone,Books & Reference
9179,EB-Link,BUSINESS,4.8,6,11,100,Free,0.0,Everyone,Business
438,Should I Answer?,COMMUNICATION,4.8,237468,8.8,1000000,Free,0.0,Everyone,Communication
3155,TravelPirates,TRAVEL_AND_LOCAL,4.8,43054,Varies with device,1000000,Free,0.0,Everyone,Travel & Local
3141,"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",TRAVEL_AND_LOCAL,4.8,17882,86,1000000,Free,0.0,Everyone,Travel & Local
301,Unicorn Pokez - Color By Number,COMICS,4.8,516,12,50000,Free,0.0,Everyone,Comics;Creativity
2311,Pregnancy Week By Week,MEDICAL,4.8,78825,11,1000000,Free,0.0,Everyone,Medical
3393,OnePlus Icon Pack,PERSONALIZATION,4.8,440,0.92,500000,Free,0.0,Everyone,Personalization
10321,FE Connect,TOOLS,4.8,24,4.5,5000,Free,0.0,Everyone,Tools
3886,Find a Way: Addictive Puzzle,FAMILY,4.8,39480,14,500000,Free,0.0,Everyone,Puzzle
10810,Fr Lupupa Sermons,BUSINESS,4.8,19,21,100,Free,0.0,Everyone,Business
10442,FiSwitch,TOOLS,4.8,615,2.0,10000,Paid,1.99,Everyone,Tools
10298,FD Calculator | Term Deposit | Fixed Deposit,FINANCE,4.8,12,2.7,1000,Free,0.0,Everyone,Finance
3848,GPS Speedometer and Odometer,MAPS_AND_NAVIGATION,4.8,15865,3.3,1000000,Free,0.0,Everyone,Maps & Navigation
3627,Weather forecast,WEATHER,4.8,159455,10,1000000,Free,0.0,Everyone,Weather
9308,أحداث وحقائق | خبر عاجل في اخبار العالم,NEWS_AND_MAGAZINES,4.8,311,14,5000,Free,0.0,Everyone 10+,News & Magazines
9351,Equestria Amino for MLP,SOCIAL,4.8,8369,63,50000,Free,0.0,Teen,Social
9837,Anime et Manga Amino en Français,SOCIAL,4.8,3782,63,50000,Free,0.0,Teen,Social
9552,El Falı,FAMILY,4.8,36968,16,1000000,Free,0.0,Everyone,Entertainment
9561,Fernanfloo,GAME,4.8,526595,49,10000000,Free,0.0,Everyone 10+,Arcade
9816,File Manager by Xiaomi: release file storage space,TOOLS,4.8,337532,15,10000000,Free,0.0,Everyone,Tools
2333,Pregnancy Calculator and Tracker app,MEDICAL,4.8,69126,61,1000000,Free,0.0,Everyone,Medical
10566,FK Crvena Zvezda Izzy,TOOLS,4.8,1456,15,50000,Free,0.0,Everyone,Tools
7393,CI Screwed - Icon Pack,PERSONALIZATION,4.7,19,6.4,1000,Free,0.0,Everyone,Personalization
287,Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897,39,10000000,Free,0.0,Everyone,Business
9770,Open Heart Surgery Hospital ER: Crazy Doctor Sim,FAMILY,4.7,7,25,1000,Free,0.0,Teen,Casual
6442,BL!TZ - Endless,GAME,4.7,21,9.0,100,Free,0.0,Everyone,Arcade
6418,あなカレ【BL】無料ゲーム,FAMILY,4.7,6073,8.5,100000,Free,0.0,Mature 17+,Simulation
9785,ES File Explorer/Manager PRO,PRODUCTIVITY,4.7,81614,6.6,500000,Paid,2.99,Everyone,Productivity
9811,ES Anywhere,BUSINESS,4.7,10,Varies with device,100,Free,0.0,Everyone,Business
9788,ES Disk Analyzer - Storage Space,PRODUCTIVITY,4.7,5867,4.4,100000,Free,0.0,Everyone,Productivity
1898,Zombie Catchers,GAME,4.7,990723,75,10000000,Free,0.0,Everyone,Action
1022,Wipe out,EVENTS,4.7,30,Varies with device,500,Free,0.0,Teen,Events
290,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8,100000,Paid,4.99,Everyone,Business
107,Ulta Beauty,BEAUTY,4.7,42050,Varies with device,1000000,Free,0.0,Everyone,Beauty
7359,Automagic * Automation,TOOLS,4.7,1947,Varies with device,10000,Paid,3.9,Everyone,Tools
9814,Advanced calculator fx 991 es plus & 991 ms plus,FAMILY,4.7,7252,9.2,500000,Free,0.0,Everyone,Education
3451,"All-In-One Toolbox: Cleaner, Booster, App Manager",PRODUCTIVITY,4.7,536926,Varies with device,10000000,Free,0.0,Everyone,Productivity
1882,Word Search,GAME,4.7,295576,3.9,10000000,Free,0.0,Everyone,Word
7273,"Cystic Fibrosis Symptoms, Doctors & Treatments",HEALTH_AND_FITNESS,4.7,6,9.7,100,Free,0.0,Teen,Health & Fitness
7280,Casa CF,HEALTH_AND_FITNESS,4.7,12,6.3,500,Free,0.0,Everyone,Health & Fitness
1074,Credit Karma,FINANCE,4.7,706301,Varies with device,10000000,Free,0.0,Everyone,Finance
7287,All Info about Cg,FAMILY,4.7,15,4.1,1000,Free,0.0,Teen,Education
9848,Learn Italian with MosaLingua,FAMILY,4.7,1719,Varies with device,50000,Paid,4.99,Teen,Education
1708,Toon Blast,GAME,4.7,1351068,Varies with device,10000000,Free,0.0,Everyone,Puzzle
10459,SCI-FI UI,FAMILY,4.7,15,3.9,100,Paid,1.99,Everyone,Entertainment
7325,BF CG Abstract Pictures,FAMILY,4.7,6,2.5,1000,Free,0.0,Teen,Entertainment
2727,"Shopular: Coupons, Weekly Ads & Shopping Deals",SHOPPING,4.7,57920,Varies with device,1000000,Free,0.0,Everyone,Shopping
1062,IKO,FINANCE,4.7,167168,20,1000000,Free,0.0,Everyone,Finance
7328,"Ultimate Public Campgrounds (Over 37,100 in US&CA)",TRAVEL_AND_LOCAL,4.7,213,6.1,5000,Paid,3.99,Everyone,Travel & Local
1060,Nubank,FINANCE,4.7,130582,24,5000000,Free,0.0,Everyone,Finance
2974,FotMob - Live Soccer Scores,SPORTS,4.7,410384,Varies with device,10000000,Free,0.0,Everyone,Sports
7347,boattheory.ch Full 2018,FAMILY,4.7,54,50,1000,Paid,19.4,Everyone,Education
10484,"FJ Final Join , Circles Game",GAME,4.7,32,24,1000,Free,0.0,Teen,Arcade
5378,DWWW 774 Ultimate AM Radio,NEWS_AND_MAGAZINES,4.7,327,31,10000,Free,0.0,Everyone,News & Magazines
7356,Battery HD Pro,TOOLS,4.7,17861,Varies with device,100000,Paid,3.99,Everyone,Tools
7357,DRAGON QUEST IV,FAMILY,4.7,1647,16,10000,Paid,14.99,Everyone,Role Playing
7420,CJ Camcorder,VIDEO_PLAYERS,4.7,3,2.8,500,Free,0.0,Everyone,Video Players & Editors
7360,FlashLight HD LED Pro,TOOLS,4.7,4928,Varies with device,50000,Paid,2.99,Everyone,Tools
9827,ET Telecom from Economic Times,NEWS_AND_MAGAZINES,4.7,273,6.3,10000,Free,0.0,Everyone,News & Magazines
6450,BeyondMenu Food Delivery,FOOD_AND_DRINK,4.7,51543,Varies with device,1000000,Free,0.0,Everyone,Food & Drink
2491,IHSS Help,MEDICAL,4.7,10,4.3,1000,Free,0.0,Everyone,Medical
2488,Ada - Your Health Guide,MEDICAL,4.7,87418,14,1000000,Free,0.0,Everyone,Medical
4860,Angry Birds Match,FAMILY,4.7,227401,91,5000000,Free,0.0,Everyone,Puzzle
4858,Ultimate Ab & Core Workouts,HEALTH_AND_FITNESS,4.7,55571,12,1000000,Free,0.0,Everyone,Health & Fitness
299,GANMA! - All original stories free of charge for all original comics,COMICS,4.7,57106,27,1000000,Free,0.0,Teen,Comics
7297,CG Freelancer,NEWS_AND_MAGAZINES,4.7,10,2.3,1000,Free,0.0,Everyone,News & Magazines
300,Röhrich Werner Soundboard,COMICS,4.7,2249,32,500000,Free,0.0,Everyone,Comics
7608,We Bare Bears Match3 Repairs,FAMILY,4.7,39153,98,1000000,Free,0.0,Everyone,Puzzle
7643,Them Bombs: co-op board game play with 2-4 friends,GAME,4.7,8038,52,100000,Free,0.0,Teen,Board
1951,Once Upon a Tower,GAME,4.7,37139,49,1000000,Free,0.0,Everyone 10+,Action
3498,Loop - Habit Tracker,PRODUCTIVITY,4.7,17955,3.8,1000000,Free,0.0,Everyone,Productivity
4764,X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4.7,149,3.5,1000,Paid,1.99,Everyone,Art & Design
6376,Audio Murli Glossary For BK,FAMILY,4.7,39,20,1000,Free,0.0,Everyone,Education
4771,Anime X Wallpaper,PERSONALIZATION,4.7,32613,3.2,1000000,Free,0.0,Everyone,Personalization
4772,NEW Theme for Phone X,PERSONALIZATION,4.7,8642,3.7,500000,Free,0.0,Everyone,Personalization
7655,Central Bank and Trust Co.,FINANCE,4.7,65,12,5000,Free,0.0,Everyone,Finance
6378,BK Traffic Control cum Chart,SOCIAL,4.7,549,17,10000,Free,0.0,Teen,Social
1940,Soul Knight,GAME,4.7,292164,59,10000000,Free,0.0,Everyone 10+,Action
7588,Cartoon Network Match Land,FAMILY,4.7,21979,38,1000000,Free,0.0,Everyone,Puzzle
1939,CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,50000000,Free,0.0,Everyone,Action
1937,Cover Fire: offline shooting games for free,GAME,4.7,725897,31,10000000,Free,0.0,Teen,Action
6382,BK Shivani Videos,LIFESTYLE,4.7,29,3.2,1000,Free,0.0,Everyone,Lifestyle
4758,iSwipe Phone X,TOOLS,4.7,58366,6.3,1000000,Free,0.0,Everyone,Tools
7659,Holl & Co Barbers,LIFESTYLE,4.7,12,6.0,500,Free,0.0,Everyone,Lifestyle
9758,Super Doctor 2 - My Newborn Baby ER Injection,FAMILY,4.7,54,92,1000,Free,0.0,Teen,Role Playing
4735,B & W Filter for Photo Editor Pro,PERSONALIZATION,4.7,65,7.6,5000,Free,0.0,Everyone,Personalization
1973,Solitaire,GAME,4.7,154264,12,10000000,Free,0.0,Everyone,Card
9576,Narcos: Cartel Wars,FAMILY,4.7,244797,52,5000000,Free,0.0,Teen,Strategy
6323,Cards Casino:Video Poker & BJ,GAME,4.7,325,23,10000,Free,0.0,Teen,Casino
7750,theCut,LIFESTYLE,4.7,499,6.9,50000,Free,0.0,Everyone,Lifestyle
7742,ClanManagerTT2,FAMILY,4.7,55,3.3,1000,Free,0.0,Everyone,Casual
7739,Sabbath School,BOOKS_AND_REFERENCE,4.7,28237,10,100000,Free,0.0,Everyone,Books & Reference
10571,Permit Test FL Florida DHSMV,FAMILY,4.7,246,11,10000,Free,0.0,Everyone,Education
4755,"X Launcher Pro: PhoneX Theme, OS11 Control Center",ART_AND_DESIGN,4.7,801,3.5,5000,Paid,1.99,Everyone,Art & Design
5437,Bubbu – My Virtual Pet,FAMILY,4.7,394842,75,10000000,Free,0.0,Everyone,Casual;Pretend Play
6350,BlackJack -21 Casino Card Game,GAME,4.7,2066,25,100000,Free,0.0,Teen,Casino
1677,Bubble Witch 3 Saga,GAME,4.7,1732263,78,50000000,Free,0.0,Everyone,Puzzle
7685,Poke Genie - Safe IV Calculator,TOOLS,4.7,92958,36,1000000,Free,0.0,Everyone,Tools
4749,X Launcher: With OS11 Style Theme & Control Center,ART_AND_DESIGN,4.7,5754,4.4,100000,Free,0.0,Everyone,Art & Design
7561,"Length Converter: convert mm,cm,m, feet,yard,mile",TOOLS,4.7,76,2.2,50000,Free,0.0,Everyone,Tools
7556,Melior NUI - Material CM Theme,PERSONALIZATION,4.7,1873,14,100000,Free,0.0,Everyone,Personalization
7555,Swift Dark CM / CM13 Theme,PERSONALIZATION,4.7,1500,41,10000,Paid,1.99,Everyone,Personalization
322,Faustop Sounds,COMICS,4.7,1677,40,100000,Free,0.0,Everyone,Comics
5401,AO Surgery Reference,MEDICAL,4.7,2570,3.8,100000,Free,0.0,Everyone,Medical
1911,Pixel Art: Color by Number Game,GAME,4.7,1125438,25,10000000,Free,0.0,Everyone,Puzzle
7471,CK Multimedia - Gaming Accessories,SHOPPING,4.7,10,2.0,500,Free,0.0,Everyone,Shopping
4820,Z Champions,GAME,4.7,96028,59,1000000,Free,0.0,Teen,Arcade
1907,Bowmasters,GAME,4.7,1535973,Varies with device,50000000,Free,0.0,Teen,Action
106,Tie - Always be happy,BEAUTY,4.7,964,9.0,50000,Free,0.0,Everyone,Beauty
7552,"Speed Booster - Ram, Battery & Game Speed Booster",TOOLS,4.7,85079,2.8,1000000,Free,0.0,Everyone,Tools
9678,Where's My Water?,FAMILY,4.7,188740,69,1000000,Paid,1.99,Everyone,Puzzle;Brain Games
7461,Louis CK,FAMILY,4.7,244,25,10000,Free,0.0,Mature 17+,Entertainment
7457,Calvin Klein – US Store,SHOPPING,4.7,221,9.5,50000,Free,0.0,Teen,Shopping
9712,EP Research Service,BOOKS_AND_REFERENCE,4.7,14,27,1000,Free,0.0,Everyone,Books & Reference
307,Dragon Ball Wallpaper - Ringtones,COMICS,4.7,73,8.3,10000,Free,0.0,Everyone,Comics
9647,The EO Bar,HEALTH_AND_FITNESS,4.7,416,34,10000,Paid,6.99,Everyone,Health & Fitness
2965,Onefootball - Soccer Scores,SPORTS,4.7,911995,20,10000000,Free,0.0,Everyone,Sports
1377,Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1,1000000,Free,0.0,Everyone,Health & Fitness
7491,Fu*** Weather (Funny Weather),WEATHER,4.7,20001,Varies with device,1000000,Free,0.0,Mature 17+,Weather
9639,Learn Top 300 English Words,FAMILY,4.7,61600,3.4,1000000,Free,0.0,Everyone,Education
3481,Content Transfer,PRODUCTIVITY,4.7,19302,7.2,5000000,Free,0.0,Everyone,Productivity
331,"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8,10000,Free,0.0,Teen,Comics
7523,CL-Phlebotomist,MEDICAL,4.7,19,7.3,100,Free,0.0,Everyone,Medical
7535,CL-App,MEDICAL,4.7,6,5.2,100,Free,0.0,Everyone,Medical
7536,"Security Master - Antivirus, VPN, AppLock, Booster",TOOLS,4.7,24900999,Varies with device,500000000,Free,0.0,Everyone,Tools
7538,CM Launcher 3D Pro💎,PERSONALIZATION,4.7,23802,0.173,100000,Paid,4.99,Everyone,Personalization
2931,"Video Editor Music,Cut,No Crop",PHOTOGRAPHY,4.7,2163282,Varies with device,50000000,Free,0.0,Everyone,Photography
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000,Free,0.0,Everyone,Beauty
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17,500000,Free,0.0,Everyone,Beauty
5412,Attack the Light,FAMILY,4.7,19209,21,100000,Paid,2.99,Everyone,Role Playing;Action & Adventure
3464,Calculator - unit converter,PRODUCTIVITY,4.7,287250,Varies with device,50000000,Free,0.0,Everyone,Productivity
1343,Simple Habit Meditation,HEALTH_AND_FITNESS,4.7,11689,20,500000,Free,0.0,Everyone,Health & Fitness
3396,"FUN Keyboard – Emoji Keyboard, Sticker,Theme & GIF",PERSONALIZATION,4.7,12089,27,500000,Free,0.0,Everyone,Personalization
3301,CALCU™ Stylish Calculator Free,TOOLS,4.7,152692,11,5000000,Free,0.0,Everyone,Tools
1192,Simple Recipes,FOOD_AND_DRINK,4.7,3803,15,500000,Free,0.0,Everyone,Food & Drink
5335,Al Mayadeen,NEWS_AND_MAGAZINES,4.7,13620,9.0,500000,Free,0.0,Everyone,News & Magazines
10207,Profile Tracker - Who Viewed My Facebook Profile,SOCIAL,4.7,37090,4.8,500000,Free,0.0,Teen,Social
1199,Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,10000000,Free,0.0,Everyone,Food & Drink
137,Methods of teeth whitening,BEAUTY,4.7,257,4.6,50000,Free,0.0,Everyone,Beauty
6901,BW-Joseki,GAME,4.7,705,1.8,10000,Free,0.0,Everyone,Board
5332,Ayat - Al Quran,FAMILY,4.7,173394,8.5,5000000,Free,0.0,Everyone,Education
10228,FB Photographie,PHOTOGRAPHY,4.7,37,10,1000,Free,0.0,Everyone,Photography
6886,My Budget Book,FINANCE,4.7,19784,7.3,100000,Paid,2.99,Everyone,Finance
6629,BQ-መጽሐፍ ቅዱሳዊ ጥያቄዎች,GAME,4.7,191,7.2,5000,Free,0.0,Everyone,Trivia
10241,FC Barcelona Official Keyboard,SPORTS,4.7,5229,20,500000,Free,0.0,Everyone,Sports
1214,Recipes Pastries and homemade pies More than 500 recipes for pastries,FOOD_AND_DRINK,4.7,14065,7.1,500000,Free,0.0,Everyone,Food & Drink
5329,Al Quran Audio (Full 30 Juz),FAMILY,4.7,7878,3.6,1000000,Free,0.0,Everyone,Education
5328,Al-Muhaffiz,BOOKS_AND_REFERENCE,4.7,2319,27,50000,Free,0.0,Everyone,Books & Reference
2543,1800 Contacts - Lens Store,MEDICAL,4.7,23160,26,1000000,Free,0.0,Everyone,Medical
6946,Bx Thailand Alert (Bitcoin),FINANCE,4.7,3,8.2,100,Free,0.0,Everyone,Finance
6587,Blood Pressure Log - MyDiary,MEDICAL,4.7,8347,2.6,500000,Free,0.0,Everyone,Medical
6975,Crypto Tracker by BitScreener,FINANCE,4.7,396,12,10000,Free,0.0,Everyone,Finance
6993,Sandbox - Color by Number Coloring Pages,FAMILY,4.7,412744,10,10000000,Free,0.0,Everyone,Entertainment;Creativity
6989,Color by Number – New Coloring Book,GAME,4.7,142308,24,5000000,Free,0.0,Everyone 10+,Board
5343,Al-Quran Ahmad Saud Offline,FAMILY,4.7,7116,40,100000,Free,0.0,Everyone,Education
6988,Quadratic Equation Solver with Steps and Graphs,FAMILY,4.7,513,9.8,50000,Free,0.0,Everyone,Education
5342,Hafizi Quran 15 lines per page,BOOKS_AND_REFERENCE,4.7,55011,68,1000000,Free,0.0,Everyone,Books & Reference
6982,"CoinMarketApp - CryptoCurrency Portfolio, News,ICO",FINANCE,4.7,20535,Varies with device,500000,Free,0.0,Everyone,Finance
1813,Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49,10000000,Free,0.0,Everyone,Arcade
6951,BX Mobile TMC for SAP B1,BUSINESS,4.7,3,11,100,Free,0.0,Everyone,Business
1181,Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9,100000,Free,0.0,Everyone,Food & Drink
1182,Delicious Recipes,FOOD_AND_DRINK,4.7,129737,Varies with device,1000000,Free,0.0,Teen,Food & Drink
1183,Tastely,FOOD_AND_DRINK,4.7,611136,19,10000000,Free,0.0,Everyone,Food & Drink
1184,Pastry & Cooking (Without Net),FOOD_AND_DRINK,4.7,6118,Varies with device,1000000,Free,0.0,Everyone,Food & Drink
5341,Al'Quran Bahasa Indonesia PRO,BOOKS_AND_REFERENCE,4.7,1340,11,10000,Paid,4.49,Everyone,Books & Reference
5340,Al Quran MP3 - Quran Reading®,FAMILY,4.7,47463,22,1000000,Free,0.0,Everyone,Education
6848,SA HLA BU,BOOKS_AND_REFERENCE,4.7,119,1.5,1000,Free,0.0,Everyone,Books & Reference
5206,ai robot keyboard,PERSONALIZATION,4.7,1891,1.9,100000,Free,0.0,Everyone,Personalization
9859,Offline Maps & Navigation,TRAVEL_AND_LOCAL,4.7,193364,33,5000000,Free,0.0,Everyone,Travel & Local
6825,BU Students' Rep. Council,FAMILY,4.7,38,5.3,500,Free,0.0,Everyone,Education
10288,FD Community FCU Mobile,FINANCE,4.7,175,12,1000,Free,0.0,Everyone,Finance
1280,Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11,1000000,Free,0.0,Everyone,Health & Fitness
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23,1000000,Free,0.0,Everyone,Books & Reference
3211,Booking.com Travel Deals,TRAVEL_AND_LOCAL,4.7,1830388,Varies with device,100000000,Free,0.0,Everyone,Travel & Local
10303,"EMI, FD, RD - Bank Calculator",FINANCE,4.7,42,3.5,5000,Free,0.0,Everyone,Finance
1769,Woody Puzzle,GAME,4.7,21262,29,1000000,Free,0.0,Everyone,Puzzle
1279,Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6.9,100000,Free,0.0,Everyone,Health & Fitness
1264,Step Counter - Pedometer Free & Calorie Counter,HEALTH_AND_FITNESS,4.7,117925,7.0,10000000,Free,0.0,Everyone,Health & Fitness
162,NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080,Varies with device,500000,Free,0.0,Everyone,Books & Reference
3162,Where is my Train : Indian Railway & PNR Status,TRAVEL_AND_LOCAL,4.7,620534,9.8,10000000,Free,0.0,Everyone,Travel & Local
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0.0,Everyone,Books & Reference
1763,Piano Tiles 2™,GAME,4.7,8118880,Varies with device,100000000,Free,0.0,Everyone,Arcade
3229,DreamTrips,TRAVEL_AND_LOCAL,4.7,9971,22,500000,Free,0.0,Teen,Travel & Local
6688,Dr B R Ambedkar (Jai Bhim),SOCIAL,4.7,2068,7.5,100000,Free,0.0,Everyone,Social
1297,Keep Trainer - Workout Trainer & Fitness Coach,HEALTH_AND_FITNESS,4.7,14810,Varies with device,1000000,Free,0.0,Everyone,Health & Fitness
5227,Jamaa Amino for Animal Jam,SOCIAL,4.7,3873,63,10000,Free,0.0,Teen,Social
3298,Brightest Flashlight Free ®,TOOLS,4.7,1335799,3.8,50000000,Free,0.0,Everyone,Tools
3292,Flashlight,TOOLS,4.7,115409,Varies with device,10000000,Free,0.0,Everyone,Tools
6796,Battery Notifier Pro BT,TOOLS,4.7,1363,1.6,10000,Paid,2.59,Everyone,Tools
6781,BT Share It,BUSINESS,4.7,12,13,500,Free,0.0,Everyone,Business
6684,B R Telco FCU Mobile Banking,FINANCE,4.7,413,13,10000,Free,0.0,Everyone,Finance
1290,Running Distance Tracker +,HEALTH_AND_FITNESS,4.7,77777,Varies with device,1000000,Free,0.0,Everyone,Health & Fitness
1779,PLANK!,GAME,4.7,7196,38,500000,Free,0.0,Everyone,Arcade
5315,Alabama Gameday Live,SPORTS,4.7,19,12,1000,Free,0.0,Everyone,Sports
10278,Deportivo Toluca FC,SPORTS,4.7,2317,5.9,50000,Free,0.0,Everyone,Sports
6994,Sandbox Art-Sandbox Color by Number Coloring Pages,FAMILY,4.7,12784,15,1000000,Free,0.0,Everyone,Entertainment
5105,Safe Ag Systems™,BUSINESS,4.7,3,36,100,Free,0.0,Everyone,Business
5103,All States Ag Parts,SHOPPING,4.7,68,6.5,10000,Free,0.0,Everyone,Shopping
3366,"Color Call - Caller Screen, LED Flash",PERSONALIZATION,4.7,29485,9.9,1000000,Free,0.0,Everyone,Personalization
3365,ZenUI Launcher,PERSONALIZATION,4.7,1141545,15,50000000,Free,0.0,Everyone,Personalization
2526,BELONG Beating Cancer Together,MEDICAL,4.7,623,20,50000,Free,0.0,Teen,Medical
1865,Honkai Impact 3rd,GAME,4.7,59017,82,1000000,Free,0.0,Teen,Action
1863,Idle Heroes,GAME,4.7,416540,99,10000000,Free,0.0,Everyone 10+,Role Playing
1111,"WalletHub - Free Credit Score, Report & Monitoring",FINANCE,4.7,1311,9.3,50000,Free,0.0,Everyone,Finance
10022,Beard Live Camera Photo Editor,BEAUTY,4.7,900,30,5000,Free,0.0,Everyone,Beauty
7134,Football-CB GO Clock Theme,PERSONALIZATION,4.7,26,5.6,1000,Free,0.0,Everyone,Personalization
7132,CB Trader,FINANCE,4.7,11,2.2,1000,Free,0.0,Everyone,Finance
2528,TelaDoc,MEDICAL,4.7,6,13,1000,Free,0.0,Everyone,Medical
1857,Hustle Castle: Fantasy Kingdom,GAME,4.7,584126,64,10000000,Free,0.0,Everyone 10+,Role Playing
4967,Ez Screen Recorder (no ad),VIDEO_PLAYERS,4.7,8696,14,100000,Free,0.0,Everyone,Video Players & Editors
1121,Everlance: Free Mileage Log,FINANCE,4.7,7514,14,100000,Free,0.0,Everyone,Finance
3369,"Emoji Keyboard - Cute Emoji,GIF, Sticker, Emoticon",PERSONALIZATION,4.7,114851,20,10000000,Free,0.0,Everyone,Personalization
4911,AC Troubleshooter,TOOLS,4.7,147,4.2,10000,Free,0.0,Everyone,Tools
9944,PlugShare,MAPS_AND_NAVIGATION,4.7,4501,26,100000,Free,0.0,Teen,Maps & Navigation
7229,Pregnancy Tracker & Countdown to Baby Due Date,PARENTING,4.7,658087,62,10000000,Free,0.0,Everyone,Parenting
3389,"Wallpapers HD, 4K Backgrounds",PERSONALIZATION,4.7,273994,12,10000000,Free,0.0,Everyone,Personalization
1712,Toy Blast,GAME,4.7,1889250,Varies with device,50000000,Free,0.0,Everyone,Puzzle
3386,OnePlus Icon Pack - Square,PERSONALIZATION,4.7,229,1.1,500000,Free,0.0,Everyone,Personalization
9887,CVRIA,BUSINESS,4.7,68,3.5,10000,Free,0.0,Everyone,Business
2994,GollerCepte 1903,SPORTS,4.7,25172,30,500000,Free,0.0,Everyone,Sports
4893,Ab Workouts - Ab Generator,HEALTH_AND_FITNESS,4.7,21,3.8,1000,Free,0.0,Everyone,Health & Fitness
